Tag,Station,Easting,Northing,Meters_Above_Sealevel,Locationtype,Remarks,WGS84_Latitude,WGS84_Longitude
BAS,BASEL-BINNINGEN,2610890,1265605,316,Vorstädtisch,,7.583263987058759,47.54108110707009
BER,BERN-BOLLWERK,2600170,1199990,536,Städtisch,verkehrsbelasted,7.440865633615793,46.95099292172696
BRM,BEROMÜNSTERk,2655840,1226780,797,Ländlich, unterhalb 1000 m ü.M.,8.175433633899491,47.18961384425924
CHA,CHAUMONT,2565085,1211040,1136,Ländlich, oberhalb 1000 m ü.M.,6.979138456557295,47.04946453497804
DAV,DAVOS-SEEHORNWALD,2784455,1187735,1637,Ländlich, oberhalb 1000 m ü.M.,9.855924471786842,46.81519731716868
DUE,DÜBENDORF-EMPA,6288675,1250900,432,Vorstädtisch,,51.387736974795985,38.119180499446806
HAE,HÄRKINGEN-A1,2628875,1240180,431,Ländlich, an Autobahn,7.820499329519502,47.3118657416725
JUN,JUNGFRAUJOCH,2641910,1155280,3578,Hochgebirge,,7.985071264023582,46.547498624252505
LAU,LAUSANNE-CÉSAR-ROUX,2538690,1152615,530,Städtisch,verkehrsbelasted,6.639635840440991,46.52201773307572
LUG,LUGANO-UNIVERSITA,2717610,196645,280,Städtisch,,8.760453885243592,37.946743862706626
MAG,MAGADINO-CADENAZZO,7215500,1113195,203,Ländlich, unterhalb 1000 m ü.M.,59.14498643729606,32.549877297274925
PAY,PAYERNE,2562285,1184775,489,Ländlich, unterhalb 1000 m ü.M.,6.944473289046786,46.81305662458657
RIG,RIGI-SEEBODENALP,2677835,1213440,1031,Ländlich, oberhalb 1000 m ü.M.,8.463329696383484,47.06740993529837
SIO,SION-AÉROPORT-A9,2592545,1118745,483,Ländlich, an Autobahn,7.342030807007882,46.220111063234384
TAE,TÄNIKON,2710500,1259810,538,Ländlich, unterhalb 1000 m ü.M.,8.90468627252565,47.479770867116436
ZUE,ZÜRICH-KASERNE,2682450,1247990,409,Städtisch,,8.53040652284386,47.37758644315775
